一级主题,一级主题名称,二级代码,二级主题名称,候选词/短语,聚合相似度,触发种子数,最高单次相似度,来源种子示例,语料频次,是否原种子词,建议处理,判定依据,是否跨类高歧义,备注
A,数字治理接口与数据协同,A1,平台建设与在线办理,集成,6.207153081893921,8,0.8617717027664185,一网通办:0.862；政务服务网:0.852；网上审批:0.824,19,否,建议新增,相似度和频次较稳,是,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,热线电话,4.915464341640472,6,0.9060080051422119,一网通办:0.906；在线办理:0.857；政务服务网:0.847,14,否,建议新增,高相似+多种子支持,是,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,一口,1.7833649516105652,2,0.9406245946884155,网上办理:0.941；在线办理:0.843,18,否,建议新增,高相似+多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,限时,1.6253451108932495,2,0.8212329149246216,网上办理:0.821；在线办理:0.804,55,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,网上,1.5835993885993958,2,0.8108273148536682,政务服务网:0.811；电子化:0.773,144,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,综合信息,1.5456755757331848,2,0.8430905938148499,平台:0.843；信息系统:0.703,943,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,城管,0.8569369912147522,1,0.8569369912147522,电子政务:0.857,132,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A1,平台建设与在线办理,集约化,0.8536744117736816,1,0.8536744117736816,一网通办:0.854,19,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,互联,5.593547582626343,7,0.8797805905342102,数据交换:0.880；数据共享:0.871；互联互通:0.856,12,否,建议新增,边界待核,是,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,集约化,3.905306577682495,5,0.8080633282661438,数据共享:0.808；互联互通:0.804；数据交换:0.779,19,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,交换,3.70148628950119,5,0.7888288497924805,数据交换:0.789；数据共享:0.751；归集:0.748,36,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,采集,3.078043282032013,4,0.8146154880523682,数据交换:0.815；数据共享:0.778；信息共享:0.748,60,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,实时,2.1510193943977356,3,0.779470682144165,动态更新:0.779；归集:0.691；联网:0.680,41,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,资源整合,1.5124292969703674,2,0.7649444937705994,汇聚:0.765；联通:0.747,10,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A2,数据共享与动态报送,贯通,0.8437812328338623,1,0.8437812328338623,联通:0.844,35,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,政务信息,2.7078593373298645,4,0.6870117783546448,公开发布:0.687；结果公开:0.676；披露:0.675,14,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,门户网站,2.177956759929657,3,0.7721208333969116,公开发布:0.772；公布:0.729；公示:0.677,96,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,阳光,2.006863057613373,3,0.6858938932418823,公开透明:0.686；过程公开:0.684；透明:0.637,77,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,专栏,1.4579020738601685,2,0.7589420080184937,公开发布:0.759；信息公开:0.699,38,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,知情权,1.436816155910492,2,0.7930597066879272,社会监督:0.793；信息公开:0.644,271,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
A,数字治理接口与数据协同,A3,信息公开与透明协同,年度报告,1.4193953275680542,2,0.7302241921424866,披露:0.730；信息公开:0.689,18,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,备选,5.474392592906952,7,0.8862642049789429,备选项目:0.886；项目储备库:0.874；纳入项目库:0.826,40,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,筛选,4.70615953207016,6,0.8570627570152283,备选项目:0.857；项目筛选:0.825；项目储备库:0.799,907,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,储备库,3.7807515263557434,5,0.8038602471351624,项目储备库:0.804；入库:0.776；纳入项目库:0.764,87,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,条件成熟,3.1078153252601624,4,0.8480144739151001,项目储备库:0.848；备选项目:0.831；项目清单:0.719,77,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B1,项目识别、筛选与入库,储备,1.5546005964279175,2,0.8035709261894226,项目储备库:0.804；项目储备:0.751,528,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,峰值,3.352238714694977,4,0.9196845889091492,财承:0.920；支出测算:0.840；支出责任:0.829,16,否,建议新增,高相似+多种子支持,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,定性分析,3.0257261395454407,4,0.8072611689567566,物有所值:0.807；财政可承受:0.751；财政承受能力:0.737,29,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,刚性,0.8718597888946533,1,0.8718597888946533,预算约束:0.872,22,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B3,实施方案设计与审批程序,初审,2.314765691757202,3,0.8236219882965088,审核:0.824；组织实施方案:0.801；联审:0.690,152,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B3,实施方案设计与审批程序,审定,1.548200011253357,2,0.8353119492530823,审议:0.835；审查通过:0.713,388,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B3,实施方案设计与审批程序,联评,0.9470300078392029,1,0.9470300078392029,联审:0.947,251,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
B,项目识别与前端规范准入,B3,实施方案设计与审批程序,常务会议,0.8564963936805725,1,0.8564963936805725,审议:0.856,168,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,后审,4.5622817277908325,6,0.8617721796035767,资格审查:0.862；采购公告:0.791；招标文件:0.762,32,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,补遗,4.51815938949585,6,0.8102275133132935,中标通知书:0.810；采购公告:0.790；招标文件:0.762,33,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,竞价,3.0125346183776855,4,0.840151846408844,竞争性谈判:0.840；竞争性磋商:0.765；公开招标:0.719,38,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,财库,2.302869141101837,3,0.8370762467384338,政府采购:0.837；竞争性磋商:0.744；采购方式:0.721,220,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,超额利润,4.174450874328613,6,0.7386202216148376,绩效付费:0.739；可行性缺口补助:0.713；付费机制:0.703,16,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,付费,3.2086089849472046,4,0.8962809443473816,绩效付费:0.896；可行性缺口补助:0.789；付费机制:0.774,499,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,可用性,3.0407040119171143,4,0.8835316300392151,绩效付费:0.884；付费机制:0.751；可行性缺口补助:0.721,59,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,终端用户,2.224226713180542,3,0.7629019618034363,使用者付费:0.763；可行性缺口补助:0.743；政府付费:0.718,21,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,约定,2.2059656381607056,3,0.7595869302749634,合同:0.760；PPP合同:0.742；特许经营协议:0.704,3574,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,履行义务,1.4765846729278564,2,0.800693929195404,履约责任:0.801；权利义务:0.676,26,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,运维,4.107926607131958,6,0.738372802734375,运营期:0.738；建设期:0.696；绩效考核:0.690,19,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,交工,2.2018545866012573,3,0.8028068542480469,验收:0.803；建设期:0.708；运营期:0.691,42,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,绩效,2.161546528339386,3,0.7717686295509338,绩效评价:0.772；绩效考核:0.736；后评价:0.654,3240,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,用户服务,2.04165780544281,3,0.7149987816810608,维护:0.715；运营维护:0.668；运营:0.659,38,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,建造,1.9643895030021667,3,0.6887406706809998,运营维护:0.689；运营:0.645；维护:0.631,299,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,实际效果,1.9538001418113708,3,0.6668904423713684,绩效评价:0.667；运营维护:0.647；后评价:0.640,20,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,见效,1.4769771695137024,2,0.80476975440979,项目落地:0.805；实施进度:0.672,22,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
C,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,竣工,0.8583373427391052,1,0.8583373427391052,验收:0.858,492,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D1,财政约束、债务底线与责任风险,防范,3.788416564464569,5,0.8600326776504517,债务风险:0.860；财政风险:0.809；风险防控:0.720,553,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D1,财政约束、债务底线与责任风险,高风险,2.3630207180976868,3,0.8589739799499512,风险预警:0.859；隐性债务:0.770；债务风险:0.734,20,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D1,财政约束、债务底线与责任风险,化解,1.6045910120010376,2,0.8372852206230164,债务风险:0.837；隐性债务:0.767,448,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D1,财政约束、债务底线与责任风险,遏制,1.5202182531356812,2,0.8335751295089722,隐性债务:0.834；债务风险:0.687,39,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D2,违约失灵、终止补偿与退出机制,补救,4.691208064556122,6,0.84625244140625,合同解除:0.846；中止:0.842；违约:0.783,23,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D2,违约失灵、终止补偿与退出机制,适用法律,4.4362213015556335,6,0.8538063764572144,合同解除:0.854；中止:0.806；终止:0.767,17,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D2,违约失灵、终止补偿与退出机制,触发,4.271119952201843,6,0.8067201375961304,合同解除:0.807；解约:0.784；退出机制:0.726,13,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D2,违约失灵、终止补偿与退出机制,届满,2.8947625160217285,4,0.7739425897598267,提前终止:0.774；项目退出:0.731；终止:0.710,74,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D2,违约失灵、终止补偿与退出机制,后果,2.2477903366088867,3,0.8015135526657104,中止:0.802；违约:0.727；终止:0.719,16,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D2,违约失灵、终止补偿与退出机制,补救措施,2.1014851331710815,3,0.7524163722991943,终止:0.752；提前终止:0.718；退出:0.631,49,否,建议新增,边界待核,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D2,违约失灵、终止补偿与退出机制,破产,0.8638148903846741,1,0.8638148903846741,清算:0.864,45,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D3,监督检查、整改清退与问责纠偏,督导,2.291763484477997,3,0.8217340111732483,督查:0.822；检查:0.764；专项检查:0.706,191,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D3,监督检查、整改清退与问责纠偏,巡视,1.5139912962913513,2,0.8136677742004395,整改:0.814；督查:0.700,41,否,建议新增,多种子支持,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D3,监督检查、整改清退与问责纠偏,偏差,0.9353194832801819,1,0.9353194832801819,纠偏:0.935,60,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
D,风险防控、监督纠偏与退出约束,D3,监督检查、整改清退与问责纠偏,出库,0.9032142758369446,1,0.9032142758369446,清退:0.903,51,否,建议新增,相似度和频次较稳,否,基于真实语料扩词结果筛选
