序号,文件名,A1_pred,A2_pred,B1_pred,B2_pred,B3_pred,B4_pred,C1_pred,C2_pred,C3_pred,best_model
4,黑龙江省发展和改革委员会关于推广运用政府和...(FBM-CLI.12.7798317).txt,1,1,1,1,1,1,1,1,0,LinearSVC
18,黑龙江省公共服务领域政府和社会资本合作(PPP)操...(FBM-CLI.12.1294505).txt,1,1,1,1,1,1,1,1,0,LinearSVC
21,黑龙江省财政厅关于印发黑龙江省公共服务领域...(FBM-CLI.14.1526337).txt,1,1,1,1,1,1,1,1,0,LinearSVC
27,鹤岗市人民政府办公室关于印发鹤岗市进一步推...(FBM-CLI.12.5570915).txt,1,1,1,1,1,1,1,0,1,LinearSVC
36,青海省人民政府办公厅转发省财政厅等部门关于...(FBM-CLI.12.1212305).txt,0,1,1,1,1,1,1,1,1,LinearSVC
47,青海省人民政府办公厅印发关于进一步激发民间...(FBM-CLI.14.1447352).txt,0,1,1,1,1,1,0,1,1,LinearSVC
49,青海省发展和改革委员会、青海省财政厅关于印...(FBM-CLI.12.8785009).txt,1,1,1,1,1,1,1,0,1,LinearSVC
54,陕西省人民政府办公厅关于在公共服务领域推广...(FBM-CLI.12.1112397).txt,1,1,1,1,1,1,1,1,1,LinearSVC
60,西安市人民政府办公厅关于印发西安市公共停车...(FBM-CLI.14.1211658).txt,0,1,1,1,1,1,1,0,0,LinearSVC
71,陕西省交通运输厅关于印发《陕西省高速公路P...(FBM-CLI.12.4936448).txt,1,1,1,1,1,1,1,1,1,LinearSVC
72,陕西省交通运输厅关于转发《收费公路政府和社...(FBM-CLI.14.9137287).txt,0,1,1,1,1,1,1,0,1,LinearSVC
75,重庆市发展和改革委员会关于印发重庆市规范推...(FBM-CLI.14.7834942).txt,1,1,1,1,1,1,1,0,1,LinearSVC
80,盘锦市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1152974).txt,1,1,1,1,1,1,1,1,0,LinearSVC
114,辽宁省财政厅关于印发辽宁省普惠金融发展专项...(FBM-CLI.12.1435498).txt,1,1,1,1,1,1,1,0,0,LinearSVC
122,朝阳市人民政府办公室关于印发朝阳市实施政府...(FBM-CLI.14.1462013).txt,1,1,1,1,1,1,1,1,0,LinearSVC
130,阜新市人民政府关于印发进一步深化预算管理制...(FBM-CLI.12.7061173).txt,1,1,1,1,1,1,1,1,0,LinearSVC
133,安顺市政府关于印发安顺市推广政府与社会资本...(FBM-CLI.12.6374330).txt,1,1,1,1,1,1,1,1,0,LinearSVC
140,贵州省政府与社会资本合作(PPP)项目推进大会公告(FBM-CLI.14.1983372).txt,0,0,0,0,1,0,0,0,0,LinearSVC
152,毕节市人民政府办公室关于印发毕节市推进重大...(FBM-CLI.12.1501881).txt,1,1,1,1,1,1,1,0,1,LinearSVC
158,日喀则市人民政府办公室关于印发加快推进PPP应...(FBM-CLI.14.1503660).txt,1,1,1,1,1,1,1,1,0,LinearSVC
173,福建省发展和改革委员会关于印发数字福建公共...(FBM-CLI.12.1128117).txt,0,1,1,1,1,1,1,1,0,LinearSVC
194,福建省住房和城乡建设厅、福建省财政厅关于印...(FBM-CLI.14.1535722).txt,0,1,1,1,1,1,0,1,1,LinearSVC
203,福建省财政厅关于进一步规范政府和社会资本合...(FBM-CLI.12.1467784).txt,1,1,1,1,1,1,1,0,1,LinearSVC
207,福建省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7924963).txt,1,1,1,0,1,1,1,0,1,LinearSVC
211,天水市人民政府关于创新重点领域投融资机制鼓...(FBM-CLI.12.1130304).txt,1,1,1,1,1,1,1,1,0,LinearSVC
221,嘉峪关市人民政府办公室关于印发《关于抓好当...(FBM-CLI.12.1661825).txt,0,1,1,0,1,0,0,0,1,LinearSVC
235,甘肃省交通运输厅关于印发《甘肃省公路政府和...(FBM-CLI.12.7365071).txt,1,1,1,1,1,1,1,1,1,LinearSVC
239,甘肃省财政厅关于印发《甘肃省政府和社会资本...(FBM-CLI.12.5512225).txt,1,1,1,1,1,1,0,1,1,LinearSVC
241,娄底市人民政府办公室关于印发《娄底市推进政...(FBM-CLI.12.1102213).txt,1,1,1,1,1,1,1,1,0,LinearSVC
266,衡阳市人民政府办公室关于印发《衡阳市政府和...(FBM-CLI.12.1415512).txt,1,1,1,1,1,1,1,1,0,LinearSVC
270,郴州市人民政府办公室关于规范并加快推进政府...(FBM-CLI.12.4794074).txt,1,1,1,1,1,1,1,0,1,LinearSVC
272,湖南省发展和改革委员会关于规范实施政府和社...(FBM-CLI.12.8441971).txt,1,1,1,1,1,1,1,0,1,LinearSVC
280,鄂州市人民政府关于在公共服务领域推广运用政...(FBM-CLI.12.1154982).txt,1,1,1,1,1,1,1,1,1,LinearSVC
293,襄阳市人民政府办公室关于印发襄阳市加快推进...(FBM-CLI.14.1451765).txt,1,1,1,1,1,1,1,0,0,LinearSVC
296,咸宁市人民政府办公室关于进一步加强政府性债...(FBM-CLI.12.3765648).txt,1,1,1,0,1,1,1,0,1,LinearSVC
300,湖北省财政厅、湖北省文化和旅游厅关于印发《...(FBM-CLI.12.4783004).txt,1,1,1,0,1,1,1,1,1,LinearSVC
308,海南省财政厅关于印发政府和社会资本合作模式...(FBM-CLI.12.1179433).txt,1,1,1,1,1,1,1,1,0,LinearSVC
317,三亚市人民政府办公室关于印发三亚市农村生活...(FBM-CLI.14.1426188).txt,0,0,1,1,1,1,0,0,0,LinearSVC
325,海口市人民政府办公室关于印发《海口市政府投...(FBM-CLI.12.6989541).txt,0,1,1,1,1,1,1,0,0,LinearSVC
328,丽水市人民政府关于促进社会资本进入公共设施...(FBM-CLI.12.1087283).txt,1,1,1,1,1,1,1,1,0,LinearSVC
331,义乌市人民政府办公室关于印发《义乌市关于推...(FBM-CLI.12.8265526).txt,1,1,1,1,1,1,1,1,0,LinearSVC
384,浙江省财政厅关于完善PPP咨询服务机构库的公告(FBM-CLI.14.1936680).txt,0,1,1,1,1,0,1,1,0,LinearSVC
429,浦江县人民政府办公室关于印发浦江县政府和社...(FBM-CLI.12.8266201).txt,1,1,1,1,1,1,1,1,0,LinearSVC
441,浙江省交通运输厅关于印发《浙江省交通建设项...(FBM-CLI.12.4214344).txt,1,1,1,1,1,1,0,1,1,LinearSVC
459,郑州市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1134052).txt,1,1,1,1,1,1,1,1,1,LinearSVC
474,河南省交通运输厅关于印发河南省普通公路政府...(FBM-CLI.14.4487547).txt,1,1,1,1,1,1,1,1,0,LinearSVC
477,安阳市人民政府办公室关于优化营商环境激发民...(FBM-CLI.12.1525680).txt,0,1,1,1,1,1,1,1,1,LinearSVC
484,河南省财政厅关于公布继续有效及废止和失效的...(FBM-CLI.12.5643046).txt,0,1,1,1,1,1,1,0,1,LinearSVC
490,唐山市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1077408).txt,1,1,1,1,1,1,1,1,0,LinearSVC
503,衡水市人民政府办公室关于进一步加强市政重点...(FBM-CLI.14.1218925).txt,0,1,1,1,1,1,0,0,0,LinearSVC
520,河北省住房和城乡建设厅办公室关于转发污水处...(FBM-CLI.14.1577050).txt,1,1,1,1,1,1,1,1,1,LinearSVC
527,河北省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7425502).txt,0,0,0,1,1,1,0,0,1,LinearSVC
529,南昌市人民政府关于公布《南昌市政府与社会资...(FBM-CLI.14.1034592).txt,0,0,1,1,1,0,0,0,0,LinearSVC
551,鹰潭市人民政府办公室关于印发2016年鹰潭市政府...(FBM-CLI.14.1252446).txt,0,1,0,0,1,0,0,0,0,LinearSVC
563,江西省交通运输厅关于加强普通国省干线公路P...(FBM-CLI.12.5405776).txt,1,0,1,1,1,1,0,0,1,LinearSVC
566,江西省财政厅转发财政部关于修订发布《政府和...(FBM-CLI.12.5333047).txt,1,1,1,1,1,1,1,0,1,LinearSVC
574,南京市政府印发关于创新财政支持方式促进经济...(FBM-CLI.12.1113751).txt,1,1,1,1,1,1,1,1,0,LinearSVC
584,江苏省政府关于在公共服务领域推广政府和社会...(FBM-CLI.12.1120630).txt,1,1,1,1,1,1,1,1,1,LinearSVC
640,沭阳县政府办公室关于印发公共服务领域推广政...(FBM-CLI.12.7988886).txt,1,1,1,1,1,1,1,1,1,LinearSVC
652,昆山市政府办公室关于印发在公共服务领域推广...(FBM-CLI.12.7867777).txt,1,1,1,1,1,1,1,0,1,LinearSVC
688,江苏省财政厅关于进一步加强政府和社会资本合...(FBM-CLI.12.1685348).txt,0,1,1,1,1,1,1,1,1,LinearSVC
699,新疆生产建设兵团办公厅印发《兵团关于在公共...(FBM-CLI.12.7258031).txt,1,1,1,1,1,1,1,1,0,LinearSVC
701,乌鲁木齐市财政局关于公布乌鲁木齐市政府与社...(FBM-CLI.14.1189532).txt,0,1,1,1,1,1,0,0,0,LinearSVC
709,新疆维吾尔自治区财政厅关于印发《自治区本级...(FBM-CLI.12.1545898).txt,1,1,1,0,1,1,1,0,1,LinearSVC
712,巴音郭楞蒙古自治州人民政府关于对新疆巴州人...(FBM-CLI.14.4793311).txt,1,1,1,1,1,1,1,0,1,LinearSVC
727,钦州市人民政府关于开展政府和社会资本合作的...(FBM-CLI.14.1119768).txt,1,1,1,1,1,1,1,1,0,LinearSVC
747,横县人民政府办公室转发广西壮族自治区人民政...(FBM-CLI.14.4165065).txt,0,1,1,0,1,0,1,0,0,LinearSVC
808,资源县人民政府办公室关于成立和调整部分议事...(FBM-CLI.14.4141661).txt,0,1,1,1,1,1,0,0,0,LinearSVC
828,桂平市人民政府办公室关于印发桂平市工程总承...(FBM-CLI.14.6329791).txt,0,0,1,1,1,1,0,1,0,LinearSVC
857,梧州市人民政府办公室关于印发我市本级政府重...(FBM-CLI.12.7042181).txt,0,0,1,1,1,1,1,1,1,LinearSVC
862,广东省人民政府办公厅转发省财政厅、省发展改...(FBM-CLI.12.1106901).txt,1,1,1,1,1,1,1,1,1,LinearSVC
876,广州市财政局关于印发《广州市关于深化预算管...(FBM-CLI.12.1244272).txt,1,1,1,1,1,1,1,1,1,LinearSVC
905,福田区人民政府办公室关于印发《福田区政府与...(FBM-CLI.12.7813743).txt,1,1,1,1,1,1,1,1,0,LinearSVC
908,深圳市发展和改革委员会关于印发《深圳市政府...(FBM-CLI.12.5131767).txt,1,1,1,1,1,1,1,1,0,LinearSVC
919,晋城市人民政府关于推进政府和社会资本合作投...(FBM-CLI.14.1127658).txt,0,1,1,1,1,1,1,1,1,LinearSVC
927,山西省财政厅关于公布山西省PPP咨询服务机构库...(FBM-CLI.14.1267384).txt,0,1,1,1,1,1,0,0,0,LinearSVC
941,吕梁市人民政府办公厅关于印发吕梁市推广运用...(FBM-CLI.12.1643550).txt,1,1,1,1,1,1,1,1,1,LinearSVC
944,大同市财政局关于印发《大同市政府和社会资本...(FBM-CLI.14.4714869).txt,1,1,1,1,1,1,0,0,1,LinearSVC
955,东营市人民政府办公室关于在公共服务领域推广...(FBM-CLI.12.1143322).txt,1,1,1,1,1,1,1,1,1,LinearSVC
958,威海市人民政府关于创新重点领域投融资机制鼓...(FBM-CLI.12.1143361).txt,0,1,1,0,1,1,0,1,0,LinearSVC
989,滨州市政府关于转发市财政局滨州市政府和社会...(FBM-CLI.12.2233145).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1013,中共山东省交通运输厅党组关于巡视整改进展情...(FBM-CLI.14.1518452).txt,1,1,1,1,1,1,0,1,1,LinearSVC
1025,烟台市司法局关于印发《法律服务产品手册》的...(FBM-CLI.12.6855761).txt,0,1,1,1,1,1,1,1,1,LinearSVC
1036,六安市人民政府关于推进政府和社会资本合作的...(FBM-CLI.12.3903598).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1069,淮北市人民政府办公室关于印发《2016年＜政府工...(FBM-CLI.14.1248482).txt,0,1,1,1,1,0,1,0,0,LinearSVC
1112,安徽省律师协会关于印发《安徽省律师从事PPP项...(FBM-CLI.12.1536182).txt,0,1,1,1,1,1,1,1,0,LinearSVC
1116,安徽省财政厅关于进一步加强政府和社会资本合...(FBM-CLI.14.4813515).txt,1,1,1,1,1,1,1,0,1,LinearSVC
1121,宁夏回族自治区人民政府办公厅关于进一步推进...(FBM-CLI.14.1279081).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1134,宁夏回族自治区人民政府办公厅印发《关于加快...(FBM-CLI.12.1608820).txt,1,1,1,1,1,1,1,0,1,LinearSVC
1135,宁夏回族自治区交通运输厅关于印发《宁夏回族...(FBM-CLI.12.5492966).txt,1,1,1,1,1,1,1,1,1,LinearSVC
1137,天津市人民政府关于推进政府和社会资本合作的...(FBM-CLI.14.1085881).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1142,天津市科委关于对市政协十三届五次会议第0094号...(FBM-CLI.14.7747145).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1146,天津市财政局关于印发天津市政府和社会资本合...(FBM-CLI.12.5205560).txt,1,1,1,1,1,1,1,0,0,LinearSVC
1150,天津市财政局关于转发《财政部关于进一步推动...(FBM-CLI.12.5670875).txt,1,0,1,0,1,1,1,0,1,LinearSVC
1156,四川省人民政府关于在公共服务领域推广政府与...(FBM-CLI.12.1116222).txt,1,1,1,1,1,1,1,1,1,LinearSVC
1198,德阳市人民政府办公室关于印发《德阳市城镇污...(FBM-CLI.12.1419451).txt,1,1,1,0,1,1,0,0,1,LinearSVC
1213,四川省财政厅关于印发《四川省政府与社会资本...(FBM-CLI.12.1584560).txt,0,1,0,1,1,1,0,0,0,LinearSVC
1220,四川省交通运输厅、四川省发展和改革委员会、...(FBM-CLI.12.5577262).txt,1,0,1,1,1,1,1,0,1,LinearSVC
1229,吉林省人民政府关于创新重点领域投融资机制鼓...(FBM-CLI.12.1099858).txt,0,1,1,0,1,0,1,1,0,LinearSVC
1236,四平市人民政府关于创新重点领域投融资机制鼓...(FBM-CLI.12.1286953).txt,0,1,1,0,1,0,1,1,0,LinearSVC
1248,辽源市人民政府关于印发辽源市社会信用体系建...(FBM-CLI.14.1453266).txt,1,1,1,1,1,1,1,1,1,LinearSVC
1259,北京市人民政府办公厅关于在公共服务领域推广...(FBM-CLI.12.1133475).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1269,北京市密云区人民政府关于印发密云区污水治理...(FBM-CLI.14.1480922).txt,0,1,1,1,1,1,0,0,0,LinearSVC
1278,北京市人民政府办公厅关于印发《北京市2018年政...(FBM-CLI.14.1454575).txt,1,1,1,0,0,1,1,0,1,LinearSVC
1294,北京市财政局关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7636927).txt,1,1,1,1,1,1,1,0,1,LinearSVC
1296,内蒙古自治区人民政府关于公共服务领域推广政...(FBM-CLI.12.1091801).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1320,鄂尔多斯市人民政府关于推广运用政府和社会资...(FBM-CLI.12.1172740).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1328,内蒙古自治区政府和社会资本合作(PPP)项目以奖代...(FBM-CLI.12.5408224).txt,1,1,1,1,1,1,1,0,0,LinearSVC
1331,内蒙古自治区人民政府办公厅关于规范推进全区...(FBM-CLI.12.7647517).txt,1,1,0,0,1,1,1,0,1,LinearSVC
1332,云南省人民政府关于印发云南省深化政府性债务...(FBM-CLI.14.1027561).txt,1,1,1,1,1,1,1,1,1,LinearSVC
1340,保山市人民政府关于印发保山市深化政府性债务...(FBM-CLI.12.2359564).txt,1,1,1,1,1,1,1,1,1,LinearSVC
1357,昆明市人民政府办公厅关于印发昆明市2018年政务...(FBM-CLI.14.6469310).txt,1,1,1,0,1,1,1,0,1,LinearSVC
1362,云南省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7487131).txt,1,1,1,1,1,1,1,0,1,LinearSVC
1366,财政部关于印发政府和社会资本合作模式操作指...(FBM-CLI.4.239107).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1407,财政部关于印发《普惠金融发展专项资金管理办...(FBM-CLI.4.281336).txt,1,1,1,1,1,1,1,0,0,LinearSVC
1452,财政部关于公布废止和失效的财政规章和规范性...(FBM-CLI.4.339305).txt,0,0,1,1,1,1,1,0,1,LinearSVC
1465,交通运输部办公厅、国家发展改革委办公厅关于...(FBM-CLI.4.5294668).txt,0,1,1,1,1,1,1,1,0,LinearSVC
1469,上海市人民政府办公厅关于印发《本市推广政府...(FBM-CLI.12.1215278).txt,1,1,1,1,1,1,1,1,0,LinearSVC
1471,闵行区人民政府办公室关于转发《闵行区关于规...(FBM-CLI.12.4587861).txt,1,1,1,1,1,1,1,0,1,LinearSVC
1472,(试行)律师代理不动产信托投资基金产品(REITs)业务...(FBM-CLI.12.4088372).txt,1,1,1,0,1,1,1,1,0,LinearSVC
