year,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,province_without_text_n,province_without_text_share,province_with_text_n
2014.0,25,88130,1613,45,5.106093271303756,0.0,8,0.9077499148984456,0.0,177,20.083966867128108,0.08,110,12.481561329853626,0.32,54,6.127311925564507,0.0,288,32.678996936344035,0.0,488,55.37274480880518,0.0,475,53.89765119709521,0.36,911,103.37002155906048,0.24,48,5.446499489390673,0.0,124,14.070123680925905,0.0,236,26.77862248950414,0.0,230,26.097810053330303,0.08,452,51.287870191762174,0.32,1874,212.64041756496084,0.6,408,46.29524565982072,0.0,-0.7126447525974721,-0.8250544936624483,0.888828960643358,0.545972491519012,-0.2162900952055207,0.2032489861666405,0.0,0.0,0.0,0.16,0.08,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.0,0.04,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.36,0.08,0.0,0.0,11.0
2015.0,341,1167069,21240,804,6.889052832351815,0.0,77,0.6597724727501116,0.0,2286,19.587530814373444,0.0791788856304985,1327,11.370364562849328,0.2170087976539589,1375,11.781651299109136,0.0850439882697947,4623,39.61205378602293,0.0439882697947214,4505,38.60097389271757,0.0205278592375366,5261,45.07873998880957,0.1818181818181818,15401,131.9630630236944,0.3724340175953079,235,2.013591312938652,0.0,1831,15.688875293577327,0.0,2821,24.17166422893591,0.0,3167,27.13635611947537,0.0791788856304985,7325,62.7640696479814,0.3460410557184751,25167,215.64277690522152,0.5747800586510264,4887,41.87413083545189,0.0,-0.6134181388652786,0.2707586563625855,0.974798662863236,0.1098408035167319,0.2107130601201809,0.4517993742475178,0.0263929618768328,0.0205278592375366,0.0,0.1202346041055718,0.0615835777126099,0.0498533724340175,0.0175953079178885,0.0439882697947214,0.0381231671554252,0.0410557184750733,0.0146627565982404,0.0058651026392961,0.002932551319648,0.0351906158357771,0.0791788856304985,0.032258064516129,0.0498533724340175,0.0,0.0117302052785923,0.0234604105571847,0.0205278592375366,0.064516129032258,0.0967741935483871,0.1436950146627566,0.0,0.0,27.0
2016.0,302,1127166,19726,1036,9.191192779058277,0.0,145,1.2864121167600868,0.0,1993,17.681512749674848,0.0662251655629139,922,8.179806701053794,0.2913907284768212,1338,11.870478704999972,0.1092715231788079,4727,41.93703500637883,0.0794701986754966,4028,35.73564142282503,0.0529801324503311,3887,34.48471653687212,0.1556291390728476,13922,123.51330682437192,0.2450331125827814,163,1.4461046553923735,0.0,1249,11.080887819540331,0.0,2542,22.55213517795959,0.0,3174,28.159117645493208,0.0662251655629139,6987,61.9873204124326,0.4801324503311258,21837,193.73366478406908,0.4536423841059602,3954,35.079127652892296,0.0,-0.5156996397148076,0.1965901975593538,0.3474520892203029,-0.5604689092407652,0.0094475490216163,-0.0054755408203694,0.0298013245033112,0.0529801324503311,0.0,0.0562913907284768,0.0298013245033112,0.0629139072847682,0.0364238410596026,0.0496688741721854,0.0397350993377483,0.0596026490066225,0.0331125827814569,0.0033112582781456,0.0132450331125827,0.0827814569536423,0.1059602649006622,0.0397350993377483,0.0298013245033112,0.0066225165562913,0.043046357615894,0.0198675496688741,0.0529801324503311,0.0629139072847682,0.0397350993377483,0.0496688741721854,0.0,0.0,30.0
2017.0,323,1203031,20291,1214,10.091178032818773,0.0,188,1.562719497668805,0.0,2457,20.42341386049071,0.0897832817337461,1150,9.559188416591091,0.2507739938080495,1433,11.911580000847858,0.0866873065015479,5745,47.754380394187685,0.1207430340557275,3793,31.52869709924349,0.0804953560371517,4034,33.53197049785084,0.1300309597523219,16199,134.6515592698775,0.2414860681114551,203,1.6874045639721669,0.0,1073,8.919138409567168,0.0,2984,24.804015856615496,0.0,3859,32.07731139097829,0.0897832817337461,8328,69.22514881162662,0.4582043343653251,24026,199.71222686697183,0.4520123839009288,4260,35.410558830154834,0.0,-0.141340610312986,0.8876994421937597,0.5186425243817316,-0.5277740699211985,0.4216671187541684,0.292855965551431,0.0309597523219814,0.0804953560371517,0.0030959752321981,0.0557275541795665,0.0402476780185758,0.0526315789473684,0.0495356037151702,0.0216718266253869,0.0309597523219814,0.0650154798761609,0.0371517027863777,0.0340557275541795,0.0185758513931888,0.0371517027863777,0.0835913312693498,0.0433436532507739,0.0619195046439628,0.0402476780185758,0.0278637770897832,0.0402476780185758,0.0681114551083591,0.0433436532507739,0.0185758513931888,0.0154798761609907,0.0,0.0,31.0
2018.0,140,543578,8664,732,13.466328659364434,0.0,148,2.7227003300354315,0.0,2766,50.88506157350003,0.0642857142857142,509,9.363881540459694,0.2785714285714286,645,11.865822384276036,0.0857142857142857,1948,35.83662326289879,0.2357142857142857,2221,40.85890157438307,0.05,1243,22.86700344752731,0.1714285714285714,5975,109.91982751325476,0.1142857142857142,127,2.336371229152026,0.0,344,6.3284386049472205,0.0,1465,26.951053942580455,0.0,3646,67.0740905628999,0.0642857142857142,3102,57.06632718763453,0.6,9439,173.64573253516514,0.3357142857142857,1936,35.6158637766797,0.0,3.2023838540750003,-0.2732943759433757,-0.2277467320844819,-0.507521261197577,0.9004475820157141,-0.3361874564084782,0.0428571428571428,0.05,0.0,0.0214285714285714,0.0214285714285714,0.0071428571428571,0.0428571428571428,0.0142857142857142,0.0214285714285714,0.0714285714285714,0.1285714285714285,0.0785714285714285,0.05,0.0428571428571428,0.0142857142857142,0.0357142857142857,0.0714285714285714,0.0,0.0714285714285714,0.0357142857142857,0.1142857142857142,0.05,0.0071428571428571,0.0071428571428571,0.0,0.0,27.0
2019.0,65,256981,4448,221,8.599857577019312,0.0,44,1.7121888388635735,0.0,587,22.84215564574813,0.0923076923076923,286,11.129227452613229,0.2769230769230769,392,15.25404601896638,0.0307692307692307,1278,49.73130309244653,0.3846153846153846,683,26.577840385086837,0.0153846153846153,914,35.5668317891206,0.1076923076923077,3296,128.25850938396223,0.0923076923076923,120,4.669605924173383,0.0,296,11.518361279627676,0.0,1071,41.67623287324744,0.0,852,33.15420206163102,0.0923076923076923,1956,76.11457656402614,0.6923076923076923,4893,190.40318155816968,0.2153846153846154,1487,57.864200077048494,0.0,-0.0384504082391417,1.5455414007644197,0.2520868718263017,1.687220303178666,0.5863926214505266,1.1616161919231291,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0,0.0769230769230769,0.0,0.0153846153846153,0.0,0.0,0.0307692307692307,0.123076923076923,0.1384615384615384,0.0461538461538461,0.0153846153846153,0.1384615384615384,0.0615384615384615,0.0,0.0,0.2,0.0,0.0461538461538461,0.0307692307692307,0.0307692307692307,0.0,0.0,0.0,26.0
2020.0,89,291202,4225,211,7.245829355567612,0.0,33,1.1332339750413802,0.0,421,14.457318287649125,0.1011235955056179,253,8.688127141983914,0.1348314606741573,411,14.1139140527881,0.0224719101123595,1408,48.35131626843223,0.5280898876404494,571,19.608381810564488,0.0112359550561797,932,32.00527468904747,0.0224719101123595,3377,115.96761011256793,0.1797752808988764,57,1.9574041387078385,0.0,233,8.001318672261867,0.0,777,26.68250904870159,0.0,665,22.83638161825812,0.1011235955056179,2072,71.15335746320423,0.6853932584269663,4880,167.58126661217986,0.2134831460674157,1067,36.641231859671294,0.0,-1.0242539436498588,1.0718158305897212,-0.4013969419478937,-0.4063713181122089,-0.1179450183360104,0.0880158568432061,0.0561797752808988,0.0112359550561797,0.0337078651685393,0.0,0.0898876404494382,0.0224719101123595,0.0112359550561797,0.0,0.0112359550561797,0.0224719101123595,0.0449438202247191,0.0898876404494382,0.0561797752808988,0.0112359550561797,0.0449438202247191,0.0449438202247191,0.0224719101123595,0.0,0.0561797752808988,0.3258426966292135,0.0112359550561797,0.0112359550561797,0.0,0.0224719101123595,0.0,0.0,24.0
2021.0,60,217655,3765,272,12.496841331464932,0.0,28,1.2864395488272726,0.0,505,23.20185614849188,0.0166666666666666,235,10.796903356228894,0.0166666666666666,290,13.323838184282463,0.0666666666666666,861,39.55801612643863,0.5,351,16.12643862994188,0.0166666666666666,461,21.18030828604902,0.0166666666666666,3057,140.45163217017756,0.3666666666666666,91,4.180928533688636,0.0,59,2.710711906457467,0.0,577,26.509843559762007,0.0,805,36.98513702878408,0.0166666666666666,1386,63.678757666949984,0.5833333333333334,3869,177.75837908616847,0.4,727,33.40148399990811,0.0,0.3275715879057604,0.3580982990012412,-0.1099850122982465,-0.7259641717047435,0.1918949582029183,-0.1592836283339162,0.0333333333333333,0.0166666666666666,0.3,0.0166666666666666,0.0,0.0,0.0166666666666666,0.0166666666666666,0.0,0.05,0.0166666666666666,0.2333333333333333,0.0333333333333333,0.0,0.0,0.0166666666666666,0.0,0.0,0.1666666666666666,0.0666666666666666,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,16.0
2022.0,56,190596,2964,177,9.286658691682932,0.0,39,2.0462129320657305,0.0,368,19.3078553589792,0.1071428571428571,120,6.296039790971479,0.125,201,10.545866649877228,0.0535714285714285,815,42.76060358034796,0.4464285714285714,459,24.082352200465905,0.0,454,23.82001720917543,0.0714285714285714,2430,127.49480576717244,0.1964285714285714,98,5.141765829293375,0.0,110,5.7713698083905225,0.0,578,30.32592499317929,0.0,584,30.640726982727863,0.1071428571428571,1136,59.60251002119667,0.625,3343,175.39717517681376,0.2678571428571428,786,41.23906063086319,0.0,-0.2785973106346893,-0.0311251359883273,-0.1775958389723153,0.0471927495009062,-0.1624394285317773,-0.0538427418199121,0.0357142857142857,0.0,0.1071428571428571,0.0,0.1071428571428571,0.0535714285714285,0.0,0.0,0.0,0.0535714285714285,0.0714285714285714,0.1607142857142857,0.0357142857142857,0.0,0.0178571428571428,0.0,0.0357142857142857,0.0,0.1964285714285714,0.0535714285714285,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,21.0
2023.0,19,66766,1010,73,10.933708773926847,0.0,5,0.7488841625977294,0.0,113,16.924782074708684,0.1578947368421052,65,9.735494113770482,0.2105263157894736,30,4.493304975586376,0.1052631578947368,194,29.0567055087919,0.1052631578947368,177,26.51049935595962,0.0,100,14.977683251954588,0.1578947368421052,770,115.32816104005032,0.2631578947368421,11,1.6475451577150046,0.0,90,13.479914926759127,0.0,254,38.04331545996465,0.0,191,28.607375011233263,0.1578947368421052,289,43.28550459814876,0.4210526315789473,1047,156.81634364796454,0.4210526315789473,355,53.17077554443879,0.0,-0.4728714379307507,-1.5891661215792392,-0.709640265537922,1.224225957807731,-0.923892608349304,-0.3581934764364767,0.0526315789473684,0.0,0.0,0.0526315789473684,0.1578947368421052,0.1052631578947368,0.0,0.0,0.0,0.1052631578947368,0.1578947368421052,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0526315789473684,0.0,0.1578947368421052,0.0,0.0,0.0,0.0,0.0,11.0
2024.0,29,59873,361,123,20.5434837071802,0.0,3,0.5010605782239073,0.0,69,11.524393299149867,0.4827586206896552,23,3.841464433049956,0.0344827586206896,24,4.008484625791258,0.0,177,29.562574115210527,0.1379310344827586,94,15.699898117682428,0.2068965517241379,88,14.697776961234617,0.0,483,80.67075309404908,0.1379310344827586,15,2.5053028911195363,0.0,15,2.5053028911195363,0.0,70,11.691413491891169,0.0,195,32.56893758455397,0.4827586206896552,224,37.41252317405174,0.1724137931034483,665,111.06842817296612,0.3448275862068966,100,16.702019274130244,0.0,-0.0943687869141102,-2.149951972237369,-2.019588284692846,-2.3733237244229426,-1.4213030146147752,-2.1809546604510524,0.0,0.2068965517241379,0.0,0.0,0.4827586206896552,0.0344827586206896,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.1034482758620689,0.0,0.0,0.1034482758620689,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2025.0,10,31815,585,76,23.888103096023887,0.0,4,1.2572685840012572,0.0,28,8.800880088008801,0.1,11,3.4574886060034578,0.3,11,3.4574886060034578,0.0,163,51.23369479805124,0.1,63,19.8019801980198,0.2,128,40.23259468804023,0.1,612,192.36209335219235,0.2,5,1.5715857300015716,0.0,44,13.829954424013833,0.0,99,31.11739745403112,0.0,108,33.946251768033946,0.1,185,58.14867201005815,0.4,803,252.3966682382524,0.5,148,46.51893760804652,0.0,0.0372250122702872,-0.1699459029756488,2.02721136075438,0.5680391310087846,0.6314968233496726,0.8084348629291718,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,7.0
,13,28956,482,62,21.411797209559328,0.0,4,1.381406271584473,0.0,41,14.15941428374085,0.0,52,17.958281530598146,0.2307692307692307,68,23.48390661693604,0.1538461538461538,75,25.90136759220887,0.3076923076923077,82,28.3188285674817,0.0,37,12.778008012156375,0.1538461538461538,269,92.8995717640558,0.1538461538461538,19,6.561679790026247,0.0,9,3.108164111065064,0.0,117,40.40613344384584,0.0,107,36.95261776488465,0.0,195,67.34355573974305,0.6923076923076923,388,133.9964083436939,0.3076923076923077,145,50.07597734493715,0.0,0.3244645746080437,0.7080341759153284,-1.3630673941556084,0.9189320180675978,-0.1101895478774121,0.0879662666091059,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.1538461538461538,0.3076923076923077,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,,,
