old_name,new_name,action
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v1.csv,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v2_四级十二类_实际执行版.csv,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v1.dta,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v2_四级十二类_实际执行版.dta,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v1.csv,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v2_四级十二类_实际执行版.csv,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v1.dta,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v2_四级十二类_实际执行版.dta,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分可选监督分类环节_V1.xlsx,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分可选监督分类环节_V2_四级十二类_实际执行版.xlsx,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分深度学习终版增强_V1.xlsx,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分深度学习终版增强_V2_四级十二类_实际执行版.xlsx,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_deep_supervised_enhancement_final_v1.py,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_deep_supervised_enhancement_final_v2.py,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_optional_supervised_classifier_v1.py,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_optional_supervised_classifier_v2.py,rename_v3
01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/build_ppp_text_variables_v1.py,01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/build_ppp_text_variables_v2.py,rename_v3
01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/prepare_ppp_text_vars_for_stata_v1.do,01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/prepare_ppp_text_vars_for_stata_v2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.1）识别框架、并表与模型设定/PPP_3.6_twfe_models_v1.do,01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.1）识别框架、并表与模型设定/PPP_3.6_twfe_models_v2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.1）识别框架、并表与模型设定/build_ppp_model_ready_panel_v1.py,01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.1）识别框架、并表与模型设定/build_ppp_model_ready_panel_v2.py,rename_v3
01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.2）描述统计、处理时点与样本结构诊断/section5_2_descriptive_diagnostics_v1.py,01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.2）描述统计、处理时点与样本结构诊断/section5_2_descriptive_diagnostics_v2.py,rename_v3
01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.3）基准多期DID_TWFE正式回归/PPP_第5部分第3批_基准多期DID正式回归_V1.do,01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.3）基准多期DID_TWFE正式回归/PPP_第5部分第3批_基准多期DID正式回归_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.3）基准多期DID_TWFE正式回归/run_ppp_baseline_regressions_v1.py,01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.3）基准多期DID_TWFE正式回归/run_ppp_baseline_regressions_v2.py,rename_v3
01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.3）基准多期DID_TWFE正式回归/section5_3_baseline_did_v1.py,01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.3）基准多期DID_TWFE正式回归/section5_3_baseline_did_v2.py,rename_v3
01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.4）事件研究法与平行趋势检验/section5_4_event_study_v1.py,01_第3到第8部分_最终修正版/第5部分_核心实证识别/（5.4）事件研究法与平行趋势检验/section5_4_event_study_v2.py,rename_v3
01_第3到第8部分_最终修正版/第6部分_机制检验/（6.1-6.4）机制检验主体与多机制比较/PPP_第5部分第5批_机制检验_V1.do,01_第3到第8部分_最终修正版/第6部分_机制检验/（6.1-6.4）机制检验主体与多机制比较/PPP_第5部分第5批_机制检验_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第6部分_机制检验/（6.5）链式机制检验/PPP_第6部分第1批_6.5链式机制检验_V1.do,01_第3到第8部分_最终修正版/第6部分_机制检验/（6.5）链式机制检验/PPP_第6部分第1批_6.5链式机制检验_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.1-7.4）区域_数字基础_治理基础异质性/PPP_第5部分第7批_异质性分析_V1.do,01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.1-7.4）区域_数字基础_治理基础异质性/PPP_第5部分第7批_异质性分析_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.5）PPP风险暴露异质性/PPP_第7部分第1批_7.5风险暴露异质性_V1.do,01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.5）PPP风险暴露异质性/PPP_第7部分第1批_7.5风险暴露异质性_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.5）PPP风险暴露异质性/section7_5_risk_exposure_heterogeneity_v1.py,01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.5）PPP风险暴露异质性/section7_5_risk_exposure_heterogeneity_v2.py,rename_v3
01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.6）政府数据开放度异质性/PPP_第7部分第2批_7.6政府数据开放度异质性_V1.do,01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.6）政府数据开放度异质性/PPP_第7部分第2批_7.6政府数据开放度异质性_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.6）政府数据开放度异质性/section7_6_gov_data_openness_proxy_v1.py,01_第3到第8部分_最终修正版/第7部分_异质性分析/（7.6）政府数据开放度异质性/section7_6_gov_data_openness_proxy_v2.py,rename_v3
01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.1-8.3）常规稳健性/PPP_第5部分第6批_稳健性检验_V1.do,01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.1-8.3）常规稳健性/PPP_第5部分第6批_稳健性检验_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.4）PSM-DID/PPP_第8部分第1批_8.4PSM-DID_V1.do,01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.4）PSM-DID/PPP_第8部分第1批_8.4PSM-DID_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.4）PSM-DID/section8_4_psm_did_v1.py,01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.4）PSM-DID/section8_4_psm_did_v2.py,rename_v3
01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.5）工具变量_IV可行性评估/section8_5_iv_feasibility_v1.py,01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.5）工具变量_IV可行性评估/section8_5_iv_feasibility_v2.py,rename_v3
01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.6）DML高维稳健性检验/PPP_第8部分第3批_8.6DML稳健性检验_V1.do,01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.6）DML高维稳健性检验/PPP_第8部分第3批_8.6DML稳健性检验_V2_四级十二类_实际执行版.do,rename_v3
01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.6）DML高维稳健性检验/section8_6_dml_v1.py,01_第3到第8部分_最终修正版/第8部分_稳健性检验/（8.6）DML高维稳健性检验/section8_6_dml_v2.py,rename_v3
02_第9部分_最终可用内容/（补充）项目级建模底表/PPP_project_level_risk_model_data_v1.csv,02_第9部分_最终可用内容/（补充）项目级建模底表/PPP_project_level_risk_model_data_v2_无泄漏严格版.csv,rename_v3
02_第9部分_最终可用内容/（补充）项目级建模底表/PPP_project_level_risk_model_data_v1.dta,02_第9部分_最终可用内容/（补充）项目级建模底表/PPP_project_level_risk_model_data_v2_无泄漏严格版.dta,rename_v3
